"rater","sad_structure","aid","leaf","estimate","file","actual"
"1","Amended-linear","SAD-aided",1,93,302,92.71633417
"1","Amended-linear","SAD-aided",2,93,305,93.93431574
"1","Amended-linear","SAD-aided",3,80,4,88.67770757
"1","Amended-linear","SAD-aided",4,40,5,33.37811929
"1","Amended-linear","SAD-aided",5,45,11,37.94803072
"1","Amended-linear","SAD-aided",6,90,306,93.63085336
"1","Amended-linear","SAD-aided",7,90,304,93.81180033
"1","Amended-linear","SAD-aided",8,65,308,67.39944707
"1","Amended-linear","SAD-aided",9,15,21,12.55329039
"1","Amended-linear","SAD-aided",10,12,31,9.809084419
"1","Amended-linear","SAD-aided",11,14,33,5.085407953
"1","Amended-linear","SAD-aided",12,10,36,6.558377493
"1","Amended-linear","SAD-aided",13,20,39,36.83114208
"1","Amended-linear","SAD-aided",14,60,310,70.05839109
"1","Amended-linear","SAD-aided",15,15,46,8.211998943
"1","Amended-linear","SAD-aided",16,45,9,57.84712957
"1","Amended-linear","SAD-aided",17,30,50,19.98605386
"1","Amended-linear","SAD-aided",18,35,51,21.5129421
"1","Amended-linear","SAD-aided",19,55,35,48.4125778
"1","Amended-linear","SAD-aided",20,55,60,49.67095426
"1","Amended-linear","SAD-aided",21,50,303,50.03266092
"1","Amended-linear","SAD-aided",22,13,70,10.24559966
"1","Amended-linear","SAD-aided",23,8,75,4.138223769
"1","Amended-linear","SAD-aided",24,50,316,49.05833397
"1","Amended-linear","SAD-aided",25,75,313,66.15640197
"1","Amended-linear","SAD-aided",26,25,85,18.61375399
"1","Amended-linear","SAD-aided",27,95,192,95.30338916
"1","Amended-linear","SAD-aided",28,4,95,2.574066669
"1","Amended-linear","SAD-aided",29,13,103,16.69698532
"1","Amended-linear","SAD-aided",30,15,110,30.5075162
"1","Amended-linear","SAD-aided",31,75,153,77.4691826
"1","Amended-linear","SAD-aided",33,39,156,20.12000915
"1","Amended-linear","SAD-aided",34,11,158,4.85873659
"1","Amended-linear","SAD-aided",35,45,166,50.86930753
"1","Amended-linear","SAD-aided",36,15,168,11.81975862
"1","Amended-linear","SAD-aided",37,25,171,26.49543506
"1","Amended-linear","SAD-aided",39,10,187,13.14949391
"1","Amended-linear","SAD-aided",40,58,190,57.03454048
"1","Amended-linear","SAD-aided",41,45,229,43.01484344
"1","Amended-linear","SAD-aided",42,40,220,35.22269604
"1","Amended-linear","SAD-aided",43,40,221,25.49189954
"1","Amended-linear","SAD-aided",44,35,223,32.025804
"1","Amended-linear","SAD-aided",46,65,319,71.28903148
"1","Amended-linear","SAD-aided",47,15,228,14.89705055
"1","Amended-linear","SAD-aided",48,40,270,38.94135999
"1","Amended-linear","SAD-aided",49,28,273,24.16437499
"1","Amended-linear","Unaided after-training",1,30,5,33.37811929
"1","Amended-linear","Unaided after-training",2,87,306,93.63085336
"1","Amended-linear","Unaided after-training",3,37,50,19.98605386
"1","Amended-linear","Unaided after-training",4,17,31,9.809084419
"1","Amended-linear","Unaided after-training",5,52,303,50.03266092
"1","Amended-linear","Unaided after-training",6,12,187,13.14949391
"1","Amended-linear","Unaided after-training",7,42,221,25.49189954
"1","Amended-linear","Unaided after-training",8,94,302,92.71633417
"1","Amended-linear","Unaided after-training",9,53,9,57.84712957
"1","Amended-linear","Unaided after-training",10,5,75,4.138223769
"1","Amended-linear","Unaided after-training",11,32,156,20.12000915
"1","Amended-linear","Unaided after-training",12,96,304,93.81180033
